
id,Artist,Song,genre,duration
0,shimoda,the hike,Ambient,2.36
1,Scomber,isolate,Rock,4.43
2,mwic,Mona Monkey,Electronic,2.39
3,Jeris,Modern Love,Rock,4.37
4,kthugha,the universe sings ft. jonatha chance,Experimental,2.42
5,Abstract Audio,So I stay home,hip_hop,4.3
6,Carosone,The Time Within,Other,4.47
7,spinningmerkaba,Where Nothing Feels Wrong,Rock,3.49
8,Apoxode,Isopropyl Fumes ft. Loveshadow,Ambient,3.18
9,essesq,You Do You,funk,2.31
10,urmymuse,fish in the deep sea water ft djlang,Ambient,3.48
11,Anchor,Bread of Heaven (a Parallel Us-Universe Space-Hymn) Speck re-mix,Experimental,3.51
12,duckett,Kara's Wise Counsel (Numbers),Other,3.51
13,Mana Junkie,Closed on Sundays,Experimental,2.54
14,onlymeith,Unexpected Distress,Ambient,4.1
15,Mr_Yesterday,Spinning Free,Ambient,4.38
16,Kraftamt,The Invisible Enemy (feat. bangcorrupt),Electronic,4.0
17,7OOP3D,Deranged Connection,Electronic,4.59
18,Loveshadow,Don't Be Afraid,Electronic,3.51
19,Apoxode,Corona Fears,Ambient,4.9
20,Admiral Bob,Laying Low,hip_hop,3.48
21,Siobhan Dakay,All it takes,Acustic,3.45
22,Scomber,Blind Love (Gypsy Dub),Reggae,6.31
23,Kara Square,Hey,Other,3.52
24,cyba,yellow,Electronic,6.33
25,moscardo,mandolin chinese (moscardo remix),Other,3.55
26,Snowflake,Breathe (Travel Light),Ambient,4.39
27,Scomber,Ordinary People (Rise from the Ashes),Ambient,6.9
28,Anchor,Endure,Other,4.11
29,onlymeith,Chance,Ambient,3.1
30,panu,the reason,Other,3.46
31,Kara Square,Blue Sky Blues,Ambient,3.3
32,essesq,Endurance Swirls Impermanence,Electronic,3.43
33,Jonatha Chance,On The Airtone,Other,2.4
34,Admiral Bob,Ink on the Page,Rock,5.17
35,Apoxode,What Do You See,Ambient,5.18
36,septahelix,Onlymyth,Electronic,7.49
37,Whitewolf,Chronically Deranged (Autopsy Mix),Rock,4.1
38,Scomber,Endurance,Electronic,6.0
39,airtone,reCreation,Ambient,3.4
40,Siobhan Dakay,The Reuse of Noise (Angel Mix),Other,4.32
41,Kara Square,Transitional Speck-tacle,Experimental,3.51
42,J.Lang,Probably Shouldn't,Rock,3.51
43,Snowflake,Unify,Other,3.31
44,SackJo22,The Black Velvet Ribbon,Electronic,6.38
45,Loveshadow,NO BPM,Electronic,4.33
46,Snowflake,Die Trying,Electronic,4.12
47,Snowflake,Rhythm,Ambient,4.49
48,panu,another perspective,Ambient,2.57
49,Snowflake,Come Inside,pop,3.56
50,texasradiofish,The New Music House (It's Only Up From Here),Electronic,3.51
51,Hans Atom,Tiny Spaceships,Electronic,3.32
52,Dysfunction_AL,Kalte Ohren ( Remix ),Electronic,4.4
53,Hans Atom,Drugs of Choice,Electronic,4.44
54,Loveshadow,These Tears (Sadness),Electronic,3.34
55,septahelix,Triptych of Snippets,Electronic,7.49
56,tigabeatz,Startrip SpatialAudio(Headphone3D),Other,4.4
57,airtone,anyOtherDay,Electronic,9.8
58,Stefan Kartenberg,Funky Moon,Electronic,4.57
59,panu,>MJ,Electronic,3.51
60,J.Lang,Good Intentions-No time to waste radio mix-,Electronic,3.51
61,spinningmerkaba,Skipping Stones,Rock,2.9
62,urmymuse,the lips of god,Ambient,2.43
63,Whitewolf,Trance is... (Ambient Cinematic Trance),Electronic,3.56
64,mykleanthony,Sadness,Electronic,3.34
65,Bluemillenium,Bonne nuit,Electronic,3.42
66,texasradiofish,CC Town Secret Mixer News,Electronic,9.48
67,Apoxode,Panacea for the Masses,Other,3.55
68,duckett,Shine Through (ReDucktion Mix),Other,5.14
69,Siobhan Dakay,Good Night,Other,3.27
70,Loveshadow,Drunk Text,Electronic,3.34
71,Zep Hurme,Leaving Babylon,Reggae,2.34
72,texasradiofish,Live Your Own Life,Rock,3.28
73,airtone,forgottenland,Ambient,4.35
74,Scomber,Cheat the Night,Rock,4.55
75,Loveshadow,I Used to Think,Jazz,4.18
76,Jeris,Focus on Love,Other,3.27
77,Bluemillenium,Temperate transition,Electronic,5.5
78,urmymuse,who are u out of the blue,Ambient,3.1
79,Mr. Pepino,Spies' Girls,Electronic,3.51
80,Speck,Mary Who Now?,Other,3.51
81,spinningmerkaba,Waves Of Tranquility,Other,3.34
82,Beluga Ten,Winter Night,Other,5.35
83,airtone,commonGround,Ambient,3.3
84,Bluemillenium,Flower (ft Doxent Zsigmond),Ambient,7.12
85,Speck,Lucky Massive Dangerous,Jazz,3.1
86,Siobhan Dakay,Since I've Been Loving You,Other,3.51
87,Kara Square,Up in Flames,Other,3.43
88,duckett,Gotta Break Free (Setting 3 Mix),funk,2.35
89,Aussens@iter,Sacred Light,Ambient,3.59
90,Mr_Yesterday,Schrödinger's Television,Experimental,3.51
91,Stefan Kartenberg,Material girl,hip_hop,4.35
92,Scomber,Drowning In The Cuervo River,Rock,4.45
93,Apoxode,Madam Snowflake Speaks,Other,3.4
94,Loveshadow,Tall Man Strut.,Acustic,5.7
95,Stefan Kartenberg,Stand Tall,Rock,3.53
96,Siobhan Dakay,Breath Deep Breath Clear (Wu Chi),Ambient,4.13
97,Radioontheshelf,The Day We Went To Tesco's,Other,3.51
98,Subliminal,Against The Shadow,Other,4.27
99,Admiral Bob,Warm Vacuum Tube,Other,3.32
100,AnalogByNature,Leaving Babylon (AXN REMIX),Electronic,2.34
101,Snowflake,Amplify the Light,Other,4.25
102,Loveshadow,You Got The Light (You Got The Love ),Electronic,4.1
103,panu,famous_last_words,Other,3.54
104,Kraftamt,Head Run,Electronic,4.18
105,Kraftamt,Au-to-ma-tic (Acid Mix),Electronic,3.51
106,Kraftamt,The little Moog,Electronic,2.44
107,The_Stereo_Inspectors,Foolish Game with Snowflake,Jazz,6.2
108,Kraftamt,Dropping out of Lightspeed,Electronic,3.53
109,Kraftamt,Automatic 2.0 (Superstar Mix),Electronic,2.0
110,Astral,The Beach (Vocal Mix),Electronic,4.7
111,Andrew Wainwright,Come And Get Me,Electronic,5.14
112,Astral,Acid Mind,Electronic,6.26
113,Kraftamt,Shape Shift,Electronic,5.42
114,Abstract Audio,Nasus,Electronic,5.3
115,Platinum Butterfly,How About This (cc mixter version),Electronic,6.37
116,KatazTrophee,Give It Time,Electronic,5.49
117,bigbonobo,Two Ooh One Two,Rock,3.2
118,Doxent Zsigmond,Apologize,hip_hop,5.33
119,musikpirat,DJ Death (On Acid),Other,5.1
120,musikpirat,Venom,Other,4.49
121,Kraftamt,The Beach (Acid Mix),Electronic,4.21
122,Astral,The Beach (Original Mix),Electronic,4.7
123,The_Stereo_Inspectors,Loving Men,Jazz,6.8
